Employee ID,Employee Name,Date,Clock In,Clock Out,Total Hours
E001,Juan Dela Cruz,2026-09-01,08:20 AM,05:00 PM,7.75
E001,Juan Dela Cruz,2026-09-02,08:00 AM,05:00 PM,8.00
E001,Juan Dela Cruz,2026-09-03,08:00 AM,05:00 PM,8.00
E001,Juan Dela Cruz,2026-09-04,08:00 AM,05:00 PM,8.00
E001,Juan Dela Cruz,2026-09-07,08:00 AM,05:00 PM,8.00
E001,Juan Dela Cruz,2026-09-08,08:00 AM,05:00 PM,8.00
E001,Juan Dela Cruz,2026-09-09,08:00 AM,05:00 PM,8.00
E001,Juan Dela Cruz,2026-09-10,08:00 AM,05:00 PM,8.00
E001,Juan Dela Cruz,2026-09-11,08:00 AM,05:00 PM,8.00
E001,Juan Dela Cruz,2026-09-14,08:00 AM,05:00 PM,8.00
E001,Juan Dela Cruz,2026-09-15,08:00 AM,05:00 PM,8.00
E002,Maria Santos,2026-09-01,08:00 AM,05:00 PM,8.00
E002,Maria Santos,2026-09-02,08:00 AM,05:00 PM,8.00
E002,Maria Santos,2026-09-03,08:00 AM,05:00 PM,8.00
E002,Maria Santos,2026-09-04,08:00 AM,05:00 PM,8.00
E002,Maria Santos,2026-09-07,08:00 AM,05:00 PM,8.00
E002,Maria Santos,2026-09-08,08:00 AM,05:00 PM,8.00
E002,Maria Santos,2026-09-09,08:00 AM,05:00 PM,8.00
E002,Maria Santos,2026-09-10,08:00 AM,07:00 PM,10.00
E002,Maria Santos,2026-09-11,08:00 AM,05:00 PM,8.00
E002,Maria Santos,2026-09-14,08:00 AM,05:00 PM,8.00
E002,Maria Santos,2026-09-15,08:00 AM,05:00 PM,8.00
E004,Ana Lim,2026-09-01,08:00 AM,05:00 PM,8.00
E004,Ana Lim,2026-09-02,08:00 AM,05:00 PM,8.00
E004,Ana Lim,2026-09-03,08:00 AM,05:00 PM,8.00
E004,Ana Lim,2026-09-04,08:00 AM,05:00 PM,8.00
E004,Ana Lim,2026-09-07,08:00 AM,05:00 PM,8.00
E004,Ana Lim,2026-09-08,08:00 AM,05:00 PM,8.00
E004,Ana Lim,2026-09-09,08:00 AM,05:00 PM,8.00
E004,Ana Lim,2026-09-10,08:00 AM,05:00 PM,8.00
E004,Ana Lim,2026-09-11,08:00 AM,05:00 PM,8.00
E004,Ana Lim,2026-09-15,08:00 AM,05:00 PM,8.00
E001,Juan Dela Cruz,2026-08-17,08:00 AM,05:00 PM,8.00
E001,Juan Dela Cruz,2026-08-18,08:00 AM,05:00 PM,8.00
E001,Juan Dela Cruz,2026-08-19,08:00 AM,05:00 PM,8.00
E001,Juan Dela Cruz,2026-08-20,08:00 AM,05:00 PM,8.00
E001,Juan Dela Cruz,2026-08-21,08:00 AM,05:00 PM,8.00
E001,Juan Dela Cruz,2026-08-24,08:00 AM,05:00 PM,8.00
E001,Juan Dela Cruz,2026-08-25,08:00 AM,05:00 PM,8.00
E001,Juan Dela Cruz,2026-08-26,08:00 AM,05:00 PM,8.00
E001,Juan Dela Cruz,2026-08-27,08:00 AM,05:00 PM,8.00
E001,Juan Dela Cruz,2026-08-28,08:00 AM,05:00 PM,8.00
E001,Juan Dela Cruz,2026-08-31,08:00 AM,05:00 PM,8.00
E002,Maria Santos,2026-08-17,08:00 AM,05:00 PM,8.00
E002,Maria Santos,2026-08-18,08:00 AM,05:00 PM,8.00
E002,Maria Santos,2026-08-19,08:00 AM,05:00 PM,8.00
E002,Maria Santos,2026-08-20,08:00 AM,05:00 PM,8.00
E002,Maria Santos,2026-08-21,08:00 AM,05:00 PM,8.00
E002,Maria Santos,2026-08-24,08:00 AM,06:00 PM,9.00
E002,Maria Santos,2026-08-25,08:00 AM,05:00 PM,8.00
E002,Maria Santos,2026-08-26,08:00 AM,05:00 PM,8.00
E002,Maria Santos,2026-08-27,08:00 AM,05:00 PM,8.00
E002,Maria Santos,2026-08-28,08:00 AM,05:00 PM,8.00
E002,Maria Santos,2026-08-31,08:00 AM,05:00 PM,8.00
E004,Ana Lim,2026-08-17,08:00 AM,05:00 PM,8.00
E004,Ana Lim,2026-08-18,08:00 AM,05:00 PM,8.00
E004,Ana Lim,2026-08-19,08:00 AM,05:00 PM,8.00
E004,Ana Lim,2026-08-20,08:00 AM,05:00 PM,8.00
E004,Ana Lim,2026-08-21,08:00 AM,05:00 PM,8.00
E004,Ana Lim,2026-08-24,08:00 AM,05:00 PM,8.00
E004,Ana Lim,2026-08-25,08:00 AM,05:00 PM,8.00
E004,Ana Lim,2026-08-26,08:00 AM,05:00 PM,8.00
E004,Ana Lim,2026-08-27,08:15 AM,05:00 PM,7.75
E004,Ana Lim,2026-08-28,08:00 AM,05:00 PM,8.00
E004,Ana Lim,2026-08-31,08:00 AM,05:00 PM,8.00
E006,Carmen Bautista,2026-08-17,08:00 AM,05:00 PM,8.00
E006,Carmen Bautista,2026-08-18,08:00 AM,05:00 PM,8.00
E006,Carmen Bautista,2026-08-19,08:00 AM,05:00 PM,8.00
E006,Carmen Bautista,2026-08-20,08:00 AM,05:00 PM,8.00
E006,Carmen Bautista,2026-08-21,08:00 AM,05:00 PM,8.00
E006,Carmen Bautista,2026-08-24,08:00 AM,05:00 PM,8.00
E006,Carmen Bautista,2026-08-25,08:00 AM,05:00 PM,8.00
E006,Carmen Bautista,2026-08-26,08:00 AM,05:00 PM,8.00
E006,Carmen Bautista,2026-08-27,08:00 AM,05:00 PM,8.00
E006,Carmen Bautista,2026-08-28,08:00 AM,05:00 PM,8.00
E006,Carmen Bautista,2026-08-31,08:00 AM,05:00 PM,8.00
